,University Names
741,Sri Padmavati Mahila Visvavidyalayam
742,Sri Ramachandra Institute of Higher Education and Research
743,Sri Sai University
744,Sri Sathya Sai Institute of Higher Learning
745,Sri Satya Sai University of Technology and Medical Sciences
746,Sri Siddhartha Academy of Higher Education
747,Sri Sri University
748,Sri Venkateswara Institute of Medical Sciences
749,Sri Venkateswara University
750,Sri Venkateswara Vedic University
751,Sri Venkateswara Veterinary University
752,Srimanta Sankaradeva University of Health Sciences
753,Srinivas University
754,SRM Institute of Science and Technology
755,SRM University Haryana
756,"SRM University, Sikkim"
757,St. Joseph University
758,St. Peter's Institute of Higher Education and Research
759,St. Xavier's University
760,Starex University
761,State University of Performing and Visual Arts
762,Suamandeep Vidyapeeth
763,Sunrise University
764,Suresh Gyan Vihar University
765,Sushant University
766,Swami Keshwanand Rajasthan Agricultural University
767,Swami Rama Himalayan University
768,Swami Ramanand Teerth Marathwada University
769,Swami Vivekanand Subharti University
770,Swami Vivekanand University
771,Swami Vivekananda Yoga Anusandhana Samsthana
772,Swarnim Gujarat Sports University
773,Swarnim Startup and Innovation University
774,Symbiosis International University
775,Symbiosis University of Applied Sciences
776,Tamil Nadu Agricultural University
777,Tamil Nadu Dr Ambedkar Law University
778,Tamil Nadu Dr. J. Jayalalithaa Fisheries University
779,Tamil Nadu Dr. M.G.R.Medical University
780,Tamil Nadu Music and Fine Arts University
781,Tamil Nadu National Law University
782,Tamil Nadu Physical Education and Sports University
783,Tamil Nadu Teacher Education University
784,Tamil Nadu Veterinary and Animal Sciences University
785,Tamil University
786,Tantia University
787,Tata Institute of Fundamental Research
788,Tata Institute of Social Sciences
789,TeamLease Skills University
790,Techno India University
791,Teerthanker Mahaveer University
792,Telangana University
793,TERI School of Advanced Studies
794,Tezpur University
795,Thapar Institute of Engineering and Technology
796,The English and Foreign Languages University
797,The IIS University
798,The Indian Law Institute
799,The LNM Institute of Information Technology
800,The Maharaja Sayajirao University of Baroda
801,The National University of Advanced Legal Studies
802,The Neotia University
803,The Northcap University
804,The Sanskrit College and University
805,The West Bengal National University of Juridical Sciences
806,Thiruvalluvar University
807,Thunchath Ezhuthachan Malayalam University
808,Tilak Maharashtra Vidyapeeth
809,Tilka Manjhi Bhagalpur University
810,Tripura University
811,Tumkur University
812,U.P. Pt. Deen Dayal Upadhyaya Veterinary Science University and Cattle Research Institute
813,Uka Tarsadia University
814,"University of Agricultural and Horticultural Sciences, Shivamogga"
815,"University of Agricultural Sciences, Bangalore"
816,"University of Agricultural Sciences, Dharwad"
817,"University of Agricultural Sciences, Raichur"
818,University of Allahabad
819,University of Burdwan
820,University of Calcutta
821,University of Calicut
822,University of Delhi
823,"University of Engineering and Management, Kolkata"
824,University of Gour Banga
825,"University of Horticultural Sciences, Bagalkot"
826,University of Hyderabad
827,University of Jammu
828,University of Kalyani
829,University of Kashmir
830,University of Kerala
831,University of Kota
832,University of Lucknow
833,University of Madras
834,University of Mumbai
835,University of Mysore
836,University of North Bengal
837,University of Patanjali
838,University of Petroleum and Energy Studies
839,University of Rajasthan
840,"University of Science and Technology, Meghalaya"
841,University of Technology
842,University of Trans-Disciplinary Health Sciences and Technology
843,Usha Martin University
844,Utkal University
845,Utkal University of Culture
846,Uttar Banga Krishi Viswavidyalaya
847,Uttar Pradesh University of Medical Sciences
848,"Uttarakhand Aawasiya Vishwavidyalaya, Almora"
849,Uttarakhand Ayurved University
850,Uttarakhand Sanskrit University
851,Uttarakhand Technical University
852,Uttaranchal University
853,Vasantrao Naik Marathwada Krishi Vidyapeeth
854,Veer Bahadur Singh Purvanchal University
855,Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry
856,Veer Kunwar Singh University
857,Veer Narmad South Gujarat University
